status,path,additions,deletions,subsystem,plan
M,.github/workflows/continuous.yml,1,1,build-CI,KEEP_CURRENT
M,.gitignore,2,0,other,KEEP_CURRENT
M,CONTINUOUS_RELEASE.md,36,1,docs,KEEP_CURRENT
A,LICENSES/ZSNES-DSP3-GPL-2.0.txt,339,0,other,KEEP_CURRENT
M,Makefile,74,13,build-CI,KEEP_CURRENT_INTERFACE_PROTECTED
M,README.md,13,9,docs,KEEP_CURRENT
M,THIRD_PARTY.md,13,0,docs,KEEP_CURRENT
A,docs/AURORA_RUNTIME_TRACE.md,218,0,docs,KEEP_CURRENT
M,src/common/io/miniz_compat.c,66,5,other,KEEP_CURRENT
M,src/gb/system/gambattesystem.cpp,54,775,bridge/GB-Gambatte,KEEP_CURRENT_BRIDGE_PROTECTED
M,src/gb/system/gambattesystem.h,3,11,bridge/GB-Gambatte,KEEP_CURRENT_BRIDGE_PROTECTED
M,src/gba/system/gpspsystem.cpp,44,10,bridge/GBA-gpSP,KEEP_CURRENT_BRIDGE_PROTECTED
M,src/gba/system/gpspsystem.h,5,1,bridge/GBA-gpSP,KEEP_CURRENT_BRIDGE_PROTECTED
M,src/modules/audio/audio.h,1,0,PS2/audio-driver,KEEP_CURRENT
M,src/modules/audio/audio_audsrv.c,19,5,PS2/audio-driver,KEEP_CURRENT
M,src/platform/ps2/lowlevel/ps2mem.h,9,0,PS2/lowlevel,KEEP_CURRENT
A,src/platform/ps2/system/aurora_ee_crash_diag.c,433,0,PS2/host-mainloop,KEEP_CURRENT
A,src/platform/ps2/system/aurora_ee_crash_diag.h,86,0,PS2/host-mainloop,KEEP_CURRENT
A,src/platform/ps2/system/aurora_runtime_trace.c,793,0,PS2/host-mainloop,KEEP_CURRENT
A,src/platform/ps2/system/aurora_runtime_trace.h,184,0,PS2/host-mainloop,KEEP_CURRENT
A,src/platform/ps2/system/aurora_runtime_trace_profile.h,149,0,PS2/host-mainloop,KEEP_CURRENT
A,src/platform/ps2/system/aurora_snes_cost_profiler.cpp,449,0,PS2/host-mainloop,KEEP_CURRENT
A,src/platform/ps2/system/aurora_snes_cost_profiler.h,134,0,PS2/host-mainloop,KEEP_CURRENT
M,src/platform/ps2/system/mainloop_exec.cpp,33,0,PS2/host-mainloop,KEEP_CURRENT
A,src/platform/ps2/system/mainloop_exec.cpp.pre_core_pressure_final,137,0,PS2/host-mainloop,REMOVE_EXPERIMENT_SNAPSHOT
A,src/platform/ps2/system/mainloop_exec.cpp.pre_preflip_health_v2,140,0,PS2/host-mainloop,REMOVE_EXPERIMENT_SNAPSHOT
M,src/platform/ps2/system/mainloop_input.cpp,6,4,PS2/host-mainloop,KEEP_CURRENT_INTERFACE_PROTECTED
M,src/platform/ps2/system/mainloop_load.cpp,773,260,PS2/host-mainloop,KEEP_CURRENT_INTERFACE_PROTECTED
M,src/platform/ps2/system/mainloop_process.cpp,6,1,PS2/host-mainloop,KEEP_CURRENT
A,src/platform/ps2/system/mainloop_process.cpp.pre_core_pressure_final,753,0,PS2/host-mainloop,REMOVE_EXPERIMENT_SNAPSHOT
A,src/platform/ps2/system/mainloop_process.cpp.pre_preflip_health_v2,765,0,PS2/host-mainloop,REMOVE_EXPERIMENT_SNAPSHOT
M,src/platform/ps2/system/mainloop_render.cpp,203,81,PS2/host-mainloop,KEEP_CURRENT
A,src/platform/ps2/system/mainloop_render.cpp.pre_AURORA_SAFE_FRAMESKIP_NATURAL_RECOVERY_V2_20260917,1014,0,PS2/host-mainloop,REMOVE_EXPERIMENT_SNAPSHOT
A,src/platform/ps2/system/mainloop_render.cpp.pre_AURORA_SAFE_FRAMESKIP_POSTFLIP_REBASE_V1_20260916,984,0,PS2/host-mainloop,REMOVE_EXPERIMENT_SNAPSHOT
A,src/platform/ps2/system/mainloop_render.cpp.pre_AURORA_SAFE_FRAMESKIP_RESTORE_4A350B_V1_20260917,998,0,PS2/host-mainloop,REMOVE_EXPERIMENT_SNAPSHOT
A,src/platform/ps2/system/mainloop_render.cpp.pre_core_pressure_final,1117,0,PS2/host-mainloop,REMOVE_EXPERIMENT_SNAPSHOT
A,src/platform/ps2/system/mainloop_render.cpp.pre_preflip_health_v2,1031,0,PS2/host-mainloop,REMOVE_EXPERIMENT_SNAPSHOT
A,src/platform/ps2/system/mainloop_render.cpp.pre_preflip_recovery_v3,1096,0,PS2/host-mainloop,REMOVE_EXPERIMENT_SNAPSHOT
A,src/platform/ps2/system/mainloop_render.cpp.pre_recovery_only_v3,1124,0,PS2/host-mainloop,REMOVE_EXPERIMENT_SNAPSHOT
A,src/platform/ps2/system/mainloop_safe_frameskip.h.pre_core_pressure_final,20,0,PS2/host-mainloop,REMOVE_EXPERIMENT_SNAPSHOT
A,src/platform/ps2/system/mainloop_safe_frameskip.h.pre_preflip_health_v2,23,0,PS2/host-mainloop,REMOVE_EXPERIMENT_SNAPSHOT
M,src/platform/ps2/system/mainloop_state.cpp,57,0,PS2/host-mainloop,KEEP_CURRENT_INTERFACE_PROTECTED
M,src/platform/ps2/system/mainloop_state.h,5,0,PS2/host-mainloop,KEEP_CURRENT
M,src/platform/ps2/ui/uiVideo.cpp,157,90,PS2/platform,KEEP_CURRENT_INTERFACE_PROTECTED
M,src/sega/picodrive/picodrive_bridge.cpp,5,10,bridge/Sega-PicoDrive,KEEP_CURRENT_BRIDGE_PROTECTED
M,src/snes/apu/opspc700_c.h,4,2,SNES/APU-SPC-DSP,KEEP_CURRENT_APU_UNTIL_TARGETED_TIMING_BATTERY
M,src/snes/apu/snspc.c,11,1,SNES/APU-SPC-DSP,KEEP_CURRENT_APU_UNTIL_TARGETED_TIMING_BATTERY
M,src/snes/apu/snspc_c.c,179,66,SNES/APU-SPC-DSP,KEEP_CURRENT_APU_UNTIL_TARGETED_TIMING_BATTERY
A,src/snes/apu/snspc_c.c.pre_AURORA_SWC_TOPGEAR_COMMON_HW_PERF_V2_20260917,858,0,SNES/APU-SPC-DSP,REMOVE_EXPERIMENT_SNAPSHOT
A,src/snes/apu/snspc_c.c.pre_AURORA_SWC_TOPGEAR_COMMON_HW_PERF_V3_20260917,884,0,SNES/APU-SPC-DSP,REMOVE_EXPERIMENT_SNAPSHOT
M,src/snes/apu/snspcbrr.c,47,211,SNES/APU-SPC-DSP,KEEP_CURRENT_APU_UNTIL_TARGETED_TIMING_BATTERY
M,src/snes/apu/snspcbrr.h,1,0,SNES/APU-SPC-DSP,KEEP_CURRENT_APU_UNTIL_TARGETED_TIMING_BATTERY
